961, 960
978, 960
986, 960
960, 961
962, 961
978, 961
986, 961
988, 961
961, 962
963, 962
987, 962
988, 962
962, 963
979, 963
987, 963
979, 964
980, 964
984, 964
966, 965
967, 965
968, 965
984, 965
965, 966
967, 966
968, 966
965, 967
966, 967
968, 967
969, 967
965, 968
966, 968
967, 968
969, 968
970, 968
971, 968
967, 969
968, 969
970, 969
971, 969
968, 970
969, 970
971, 970
968, 971
969, 971
970, 971
985, 971
973, 972
981, 972
982, 972
972, 973
981, 973
982, 973
990, 973
975, 974
989, 974
990, 974
974, 975
976, 975
989, 975
991, 975
975, 976
977, 976
991, 976
992, 976
976, 977
992, 977
993, 977
960, 978
961, 978
986, 978
988, 978
963, 979
964, 979
980, 979
987, 979
964, 980
979, 980
984, 980
972, 981
973, 981
982, 981
983, 981
990, 981
972, 982
973, 982
981, 982
983, 982
985, 982
981, 983
982, 983
985, 983
964, 984
965, 984
980, 984
971, 985
982, 985
983, 985
960, 986
961, 986
978, 986
987, 986
988, 986
962, 987
963, 987
979, 987
986, 987
988, 987
961, 988
962, 988
978, 988
986, 988
987, 988
974, 989
975, 989
990, 989
991, 989
973, 990
974, 990
981, 990
989, 990
975, 991
976, 991
989, 991
992, 991
993, 991
976, 992
977, 992
991, 992
993, 992
977, 993
991, 993
992, 993
